CITATION,TYPE,AGENCY2,LOCAL,RACE,SEX,DAYNIGHT,MPHGROUP,AGEGROUP,INTOWN,INSTATE
K0002640,T,State Police,N,U,F,day,a) less than 10,41-45,N,Y
K0002641,T,State Police,N,W,M,night,b) 10 to 15,41-45,N,Y
K0002642,T,State Police,N,W,F,day,U,31-35,Y,Y
K0002643,T,State Police,N,W,F,day,U,51-55,N,N
K0002644,W,State Police,N,W,M,day,b) 10 to 15,41-45,N,Y
K0002645,W,State Police,N,W,M,day,d) more than 20,26-30,N,Y
K0002646,W,State Police,N,W,F,day,c) 16 to 20,51-55,N,Y
K0002649,T,State Police,N,W,F,day,U,21-25,N,Y
K0002650,T,State Police,N,W,M,night,b) 10 to 15,36-40,N,Y
K0002653,W,State Police,N,W,M,night,c) 16 to 20,61-65,N,Y
K0002654,T,State Police,N,W,F,night,b) 10 to 15,36-40,N,Y
K0002655,T,State Police,N,W,F,night,b) 10 to 15,26-30,N,Y
K0002660,T,State Police,N,W,M,day,U,56-60,N,N
K0002673,T,State Police,N,H,M,night,U,16-20,Y,Y
K0002725,T,State Police,N,W,M,night,b) 10 to 15,21-25,N,Y
K0002728,T,State Police,N,W,M,day,U,36-40,N,N
K0002729,T,State Police,N,W,F,day,U,41-45,N,Y
K0002732,T,State Police,N,W,M,night,d) more than 20,21-25,N,Y
K0002733,W,State Police,N,W,M,night,b) 10 to 15,31-35,N,N
K0002734,T,State Police,N,A,M,night,c) 16 to 20,21-25,N,Y
K0002735,T,State Police,N,H,M,night,d) more than 20,21-25,N,Y
K0002736,W,State Police,N,W,M,night,U,21-25,N,Y
K0002737,T,State Police,N,W,M,night,b) 10 to 15,16-20,N,Y
K0002739,W,State Police,N,W,M,night,a) less than 10,36-40,N,Y
K0002741,T,State Police,N,W,M,night,d) more than 20,41-45,N,Y
K0002744,T,State Police,N,W,M,night,d) more than 20,21-25,N,Y
K0002745,T,State Police,N,W,M,night,d) more than 20,51-55,N,Y
K0002747,T,State Police,N,W,M,day,b) 10 to 15,36-40,N,Y
K0002748,T,State Police,N,W,F,night,b) 10 to 15,21-25,N,Y
K0002749,T,State Police,N,W,F,night,c) 16 to 20,46-50,N,N
K0002750,T,State Police,N,W,M,night,d) more than 20,26-30,N,Y
K0002751,T,State Police,N,W,M,night,b) 10 to 15,16-20,N,Y
K0002752,T,State Police,N,W,M,day,c) 16 to 20,46-50,N,N
K0002756,T,State Police,N,W,M,night,d) more than 20,26-30,N,Y
K0002761,T,State Police,N,W,M,day,U,26-30,N,N
K0002762,T,State Police,N,W,F,day,c) 16 to 20,36-40,N,N
K0002768,T,State Police,N,W,F,day,b) 10 to 15,36-40,N,Y
K0002771,T,State Police,N,H,M,day,b) 10 to 15,41-45,N,Y
K0002776,T,State Police,N,W,M,day,c) 16 to 20,26-30,N,N
K0002777,T,State Police,N,H,M,day,d) more than 20,31-35,N,Y
K0002783,T,State Police,N,W,M,day,U,36-40,N,N
K0002784,T,State Police,N,W,M,day,c) 16 to 20,31-35,N,N
K0002785,T,State Police,N,W,F,day,U,36-40,N,N
K0002786,T,State Police,N,B,M,day,U,46-50,N,Y
K0002787,T,State Police,N,W,M,day,U,46-50,N,N
K0002790,T,State Police,N,W,M,day,U,71-75,N,Y
K0002791,W,State Police,N,W,M,night,U,46-50,U,N
K0002793,W,State Police,N,W,M,night,b) 10 to 15,26-30,N,Y
K0002794,W,State Police,N,W,F,night,b) 10 to 15,46-50,N,Y
K0002796,T,State Police,N,W,M,day,b) 10 to 15,31-35,N,Y
K0002797,T,State Police,N,W,M,day,c) 16 to 20,21-25,N,Y
K0002800,T,State Police,N,W,M,night,d) more than 20,21-25,N,Y
K0002805,T,State Police,N,W,F,day,U,31-35,N,N
K0002806,T,State Police,N,W,M,day,d) more than 20,41-45,N,N
K0002807,T,State Police,N,W,F,day,b) 10 to 15,31-35,N,Y
K0002808,T,State Police,N,W,M,day,b) 10 to 15,46-50,N,Y
K0002809,T,State Police,N,W,M,day,c) 16 to 20,36-40,Y,Y
K0002811,W,State Police,N,W,F,day,b) 10 to 15,46-50,N,N
K0002812,W,State Police,N,W,M,day,b) 10 to 15,41-45,N,N
K0002817,W,State Police,N,W,F,day,b) 10 to 15,46-50,N,Y
K0002820,W,State Police,N,W,F,day,b) 10 to 15,31-35,N,Y
K0002823,T,State Police,N,W,M,day,c) 16 to 20,21-25,N,Y
K0002826,W,State Police,N,W,M,day,c) 16 to 20,51-55,N,Y
K0002827,T,State Police,N,W,M,day,d) more than 20,36-40,N,Y
K0002829,W,State Police,N,A,M,day,b) 10 to 15,31-35,N,Y
K0002830,T,State Police,N,W,M,day,U,21-25,N,Y
K0002834,T,State Police,N,W,F,day,U,31-35,N,Y
K0002835,T,State Police,N,M,M,day,U,36-40,N,Y
K0002837,T,State Police,N,B,M,day,U,41-45,N,Y
K0002843,T,State Police,N,W,F,day,b) 10 to 15,41-45,N,Y
K0002844,T,State Police,N,W,F,day,b) 10 to 15,36-40,N,Y
K0002847,T,State Police,N,W,M,day,b) 10 to 15,21-25,N,Y
K0002848,T,State Police,N,W,F,day,b) 10 to 15,21-25,Y,Y
K0002851,T,State Police,N,A,M,night,b) 10 to 15,41-45,N,Y
K0002853,T,State Police,N,W,M,night,b) 10 to 15,26-30,N,Y
K0002854,T,State Police,N,W,M,night,b) 10 to 15,51-55,N,Y
K0002857,T,State Police,N,W,M,day,b) 10 to 15,61-65,N,Y
K0002861,T,State Police,N,H,F,day,U,21-25,N,Y
K0002868,T,State Police,N,W,M,day,U,26-30,N,Y
K0002869,T,State Police,N,W,F,night,b) 10 to 15,26-30,N,Y
K0002871,T,State Police,N,W,M,day,U,26-30,N,Y
K0002872,T,State Police,N,W,M,day,b) 10 to 15,41-45,N,N
K0002873,T,State Police,N,A,M,night,b) 10 to 15,36-40,N,Y
K0002874,W,State Police,N,W,M,day,U,46-50,N,Y
K0002875,W,State Police,N,W,F,night,U,16-20,N,Y
K0002876,T,State Police,N,W,F,day,b) 10 to 15,21-25,N,N
K0002877,W,State Police,N,W,F,day,b) 10 to 15,61-65,N,Y
K0002878,T,State Police,N,A,F,night,b) 10 to 15,26-30,N,Y
K0002879,T,State Police,N,W,M,night,b) 10 to 15,21-25,N,N
K0002880,T,State Police,N,B,F,day,b) 10 to 15,31-35,N,Y
K0002884,T,State Police,N,W,M,day,d) more than 20,26-30,N,Y
K0002888,T,State Police,N,W,M,night,U,41-45,N,N
K0002892,T,State Police,N,W,M,day,U,21-25,N,Y
K0002894,T,State Police,N,W,F,day,U,26-30,N,Y
K0002896,T,State Police,N,W,M,day,U,31-35,N,Y
K0002898,T,State Police,N,W,M,day,U,21-25,N,Y
K0002899,T,State Police,N,W,M,day,U,21-25,Y,Y
K0002900,T,State Police,N,W,M,day,U,26-30,Y,Y
K0002901,T,State Police,N,U,M,day,a) less than 10,61-65,N,Y
K0002902,T,State Police,N,A,M,day,a) less than 10,31-35,N,Y
K0002903,T,State Police,N,H,M,day,c) 16 to 20,36-40,N,Y
K0002904,T,State Police,N,U,F,day,U,31-35,N,Y
K0002905,T,State Police,N,U,M,day,b) 10 to 15,21-25,N,Y
K0002906,T,State Police,N,U,M,day,b) 10 to 15,16-20,N,Y
K0002913,T,State Police,N,W,M,day,c) 16 to 20,21-25,N,N
K0002916,T,State Police,N,W,F,day,U,31-35,N,Y
K0002918,T,State Police,N,U,U,day,U,36-40,N,Y
K0002923,T,State Police,N,H,M,night,U,31-35,N,Y
K0002924,T,State Police,N,W,F,night,c) 16 to 20,16-20,N,N
K0002926,T,State Police,N,M,M,day,d) more than 20,31-35,N,Y
K0002930,T,State Police,N,W,M,night,c) 16 to 20,N/A,N,N
K0002933,W,State Police,N,W,M,day,U,16-20,N,Y
K0002935,T,State Police,N,H,M,day,b) 10 to 15,36-40,N,Y
K0002944,T,State Police,N,W,F,day,c) 16 to 20,21-25,N,Y
K0002947,T,State Police,N,W,M,day,c) 16 to 20,56-60,N,Y
K0002949,W,State Police,N,W,M,day,U,41-45,N,Y
K0002950,T,State Police,N,W,M,day,c) 16 to 20,41-45,N,Y
K0002952,T,State Police,N,W,M,day,c) 16 to 20,26-30,N,Y
K0002956,T,State Police,N,W,F,night,c) 16 to 20,31-35,N,N
K0002957,T,State Police,N,W,M,day,c) 16 to 20,36-40,N,N
K0002958,T,State Police,N,W,M,night,d) more than 20,21-25,N,Y
K0002959,W,State Police,N,W,M,night,U,51-55,N,Y
K0002960,T,State Police,N,W,M,day,c) 16 to 20,51-55,N,Y
K0002962,T,State Police,N,W,F,day,U,26-30,Y,Y
K0002964,T,State Police,N,W,M,night,d) more than 20,21-25,N,Y
K0002965,T,State Police,N,W,M,day,b) 10 to 15,41-45,N,Y
K0002966,T,State Police,N,W,M,night,d) more than 20,21-25,N,N
K0002968,T,State Police,N,W,F,night,c) 16 to 20,31-35,N,Y
K0002969,T,State Police,N,W,M,night,c) 16 to 20,51-55,N,Y
K0002970,T,State Police,N,W,M,night,d) more than 20,31-35,N,Y
K0002971,T,State Police,N,W,F,night,d) more than 20,26-30,N,N
K0002973,T,State Police,N,W,F,night,d) more than 20,26-30,N,N
K0002974,T,State Police,N,W,M,night,b) 10 to 15,46-50,N,N
K0002976,T,State Police,N,W,M,night,d) more than 20,46-50,N,N
K0002978,T,State Police,N,W,F,night,c) 16 to 20,26-30,N,Y
K0002980,T,State Police,N,H,F,night,U,46-50,N,Y
K0002981,T,State Police,N,W,M,night,d) more than 20,26-30,N,N
K0002982,T,State Police,N,W,M,night,d) more than 20,36-40,N,N
K0002986,T,State Police,N,W,F,night,b) 10 to 15,46-50,N,Y
K0002989,T,State Police,N,W,M,night,b) 10 to 15,61-65,N,Y
K0002996,T,State Police,N,B,M,day,d) more than 20,41-45,N,N
K0003007,T,State Police,N,W,M,day,U,31-35,N,N
K0003008,T,State Police,N,A,M,day,U,51-55,N,Y
K0003015,T,State Police,N,W,M,day,b) 10 to 15,41-45,N,Y
K0003017,T,State Police,N,W,F,day,b) 10 to 15,26-30,N,N
K0003020,T,State Police,N,W,M,day,U,36-40,N,Y
K0003029,T,State Police,N,W,M,day,d) more than 20,21-25,N,Y
K0003035,T,State Police,N,U,M,day,U,41-45,Y,Y
K0003041,T,State Police,N,W,M,day,b) 10 to 15,36-40,N,N
K0003044,T,State Police,N,W,M,day,c) 16 to 20,31-35,N,Y
K0003059,T,State Police,N,W,M,day,d) more than 20,36-40,N,N
K0003090,T,State Police,N,W,M,day,U,21-25,N,N
K0003093,T,State Police,N,W,M,night,U,16-20,N,N
K0003109,T,State Police,N,U,M,day,b) 10 to 15,21-25,N,N
K0003113,T,State Police,N,U,M,day,U,36-40,N,N
K0003120,T,State Police,N,U,M,night,c) 16 to 20,26-30,N,Y
K0003124,T,State Police,N,W,M,night,d) more than 20,61-65,N,Y
K0003134,T,State Police,N,H,M,night,d) more than 20,26-30,N,Y
K0003135,T,State Police,N,W,M,night,U,21-25,Y,Y
K0003136,T,State Police,N,W,M,day,U,31-35,N,N
K0003141,T,State Police,N,W,M,day,d) more than 20,31-35,N,Y
K0003142,T,State Police,N,W,F,day,d) more than 20,16-20,N,Y
K0003144,T,State Police,N,W,M,day,U,41-45,N,Y
K0003147,T,State Police,N,H,M,day,d) more than 20,21-25,N,Y
K0003148,T,State Police,N,H,F,day,d) more than 20,36-40,N,Y
K0003150,T,State Police,N,U,M,night,b) 10 to 15,N/A,Y,Y
K0003151,T,State Police,N,U,F,night,d) more than 20,31-35,N,Y
K0003152,T,State Police,N,H,F,night,d) more than 20,31-35,N,Y
K0003153,T,State Police,N,W,M,night,b) 10 to 15,46-50,N,N
K0003154,T,State Police,N,H,M,night,d) more than 20,36-40,N,Y
K0003155,T,State Police,N,W,M,night,d) more than 20,21-25,N,Y
K0003156,T,State Police,N,W,M,night,d) more than 20,21-25,Y,Y
K0003158,T,State Police,N,B,M,night,d) more than 20,31-35,N,Y
K0003163,T,State Police,N,H,M,night,c) 16 to 20,41-45,N,Y
K0003165,T,State Police,N,W,F,day,b) 10 to 15,16-20,N,N
K0003168,T,State Police,N,W,F,day,d) more than 20,21-25,N,Y
K0003169,T,State Police,N,M,M,day,U,41-45,N,Y
K0003170,T,State Police,N,W,F,day,c) 16 to 20,46-50,N,Y
K0003171,T,State Police,N,H,M,night,c) 16 to 20,46-50,N,N
K0003176,T,State Police,N,W,F,day,d) more than 20,46-50,N,N
K0003178,T,State Police,N,B,M,day,U,26-30,N,N
K0003200,T,State Police,N,W,M,night,U,36-40,N,Y
K0003206,T,State Police,N,W,F,day,b) 10 to 15,31-35,N,Y
K0003208,T,State Police,N,W,M,day,U,41-45,N,Y
K0003211,T,State Police,N,W,M,day,U,31-35,N,N
K0003212,T,State Police,N,W,M,day,b) 10 to 15,41-45,N,Y
K0003219,T,State Police,N,W,F,day,b) 10 to 15,31-35,N,Y
K0003220,T,State Police,N,W,F,day,b) 10 to 15,26-30,N,Y
K0003285,T,State Police,N,W,M,day,U,66-70,N,Y
K0003288,T,State Police,N,W,F,day,d) more than 20,21-25,N,Y
K0003296,T,State Police,N,W,M,day,b) 10 to 15,31-35,N,Y
K0003297,T,State Police,N,M,M,day,U,31-35,N,N
K0003313,T,State Police,N,W,M,day,U,46-50,N,Y
K0003314,T,State Police,N,W,M,day,U,56-60,N,Y
K0003315,T,State Police,N,W,M,day,U,26-30,N,Y
K0003316,T,State Police,N,H,M,day,U,41-45,N,Y
K0003317,T,State Police,N,W,M,day,U,51-55,N,Y
K0003318,T,State Police,N,W,M,day,U,31-35,N,N
K0003319,T,State Police,N,W,M,day,U,36-40,N,Y
K0003320,T,State Police,N,B,M,night,U,41-45,N,Y
K0003323,T,State Police,N,W,M,day,U,21-25,N,Y
K0003335,T,State Police,N,W,M,night,U,41-45,N,Y
K0003337,T,State Police,N,W,M,day,U,26-30,N,N
K0003338,T,State Police,N,B,M,night,U,41-45,Y,Y
K0003381,T,State Police,N,W,M,night,U,31-35,N,Y
K0003386,W,State Police,N,W,F,day,b) 10 to 15,16-20,Y,Y
K0003387,T,State Police,N,W,M,night,U,21-25,N,Y
K0003391,T,State Police,N,W,M,day,U,21-25,N,Y
K0003441,T,State Police,N,W,F,day,d) more than 20,16-20,N,Y
K0003444,T,State Police,N,W,F,day,b) 10 to 15,26-30,N,Y
K0003446,T,State Police,N,W,M,day,b) 10 to 15,16-20,Y,Y
K0003447,T,State Police,N,B,F,day,c) 16 to 20,31-35,Y,Y
K0003468,W,State Police,N,W,M,night,a) less than 10,41-45,N,Y
K0003470,T,State Police,N,W,M,day,d) more than 20,31-35,N,Y
K0003483,T,State Police,N,W,M,day,c) 16 to 20,71-75,N,Y
K0003487,T,State Police,N,W,M,day,d) more than 20,31-35,N,Y
K0003490,T,State Police,N,W,M,day,U,16-20,N,Y
K0003493,T,State Police,N,W,M,day,b) 10 to 15,51-55,Y,Y
K0003495,T,State Police,N,W,F,day,b) 10 to 15,36-40,N,Y
K0003496,T,State Police,N,W,M,day,c) 16 to 20,41-45,N,N
K0003497,T,State Police,N,W,M,day,b) 10 to 15,36-40,N,Y
K0003499,T,State Police,N,W,M,night,c) 16 to 20,26-30,N,Y
K0003501,T,State Police,N,H,M,night,d) more than 20,21-25,N,Y
K0003502,W,State Police,N,W,M,night,U,16-20,N,Y
K0003503,W,State Police,N,H,M,night,U,16-20,N,Y
K0003505,T,State Police,N,W,F,day,b) 10 to 15,16-20,N,Y
K0003507,T,State Police,N,W,F,day,b) 10 to 15,41-45,N,Y
K0003508,T,State Police,N,W,M,day,U,16-20,Y,Y
K0003512,T,State Police,N,W,F,day,c) 16 to 20,26-30,N,Y
K0003513,T,State Police,N,W,M,day,d) more than 20,41-45,N,Y
K0003514,T,State Police,N,W,M,day,b) 10 to 15,51-55,N,Y
K0003517,T,State Police,N,W,F,day,c) 16 to 20,16-20,N,Y
K0003518,T,State Police,N,M,M,day,U,56-60,N,Y
K0003520,T,State Police,N,W,M,day,U,31-35,Y,Y
K0003521,T,State Police,N,W,M,day,b) 10 to 15,26-30,N,Y
K0003522,W,State Police,N,W,F,day,U,36-40,N,Y
K0003523,T,State Police,N,W,M,day,b) 10 to 15,26-30,N,Y
K0003524,T,State Police,N,W,M,day,U,31-35,N,Y
K0003526,T,State Police,N,H,F,day,c) 16 to 20,21-25,N,Y
K0003527,T,State Police,N,W,M,day,c) 16 to 20,61-65,N,Y
K0003528,T,State Police,N,W,F,day,d) more than 20,21-25,N,N
K0003529,W,State Police,N,W,F,day,a) less than 10,21-25,N,Y
K0003531,T,State Police,N,W,M,day,U,41-45,N,N
K0003532,T,State Police,N,W,F,day,U,31-35,N,Y
K0003533,W,State Police,N,W,M,day,a) less than 10,31-35,N,Y
K0003534,T,State Police,N,W,M,day,U,16-20,Y,Y
K0003536,T,State Police,N,W,M,day,c) 16 to 20,21-25,N,Y
K0003537,T,State Police,N,W,M,day,U,31-35,N,Y
K0003538,T,State Police,N,W,M,day,c) 16 to 20,26-30,N,Y
K0003539,T,State Police,N,W,F,day,U,41-45,N,Y
K0003540,T,State Police,N,W,F,day,b) 10 to 15,31-35,N,Y
K0003561,T,State Police,N,W,M,day,b) 10 to 15,31-35,N,Y
K0003562,W,State Police,N,W,F,day,b) 10 to 15,56-60,N,Y
K0003563,W,State Police,N,W,F,night,b) 10 to 15,31-35,N,Y
K0003569,T,State Police,N,W,M,night,b) 10 to 15,21-25,Y,Y
K0003583,T,State Police,N,W,M,night,b) 10 to 15,26-30,N,Y
K0003585,T,State Police,N,B,M,night,U,26-30,N,Y
K0003587,T,State Police,N,W,M,night,U,56-60,Y,Y
K0003588,T,State Police,N,W,F,night,U,21-25,N,Y
K0003589,W,State Police,N,W,M,night,U,56-60,N,Y
K0003590,T,State Police,N,W,M,night,d) more than 20,26-30,N,Y
K0003591,W,State Police,N,W,M,night,U,46-50,N,Y
K0003592,T,State Police,N,W,M,night,c) 16 to 20,46-50,N,Y
K0003594,T,State Police,N,W,M,night,d) more than 20,41-45,N,N
K0003596,T,State Police,N,W,M,day,d) more than 20,51-55,N,Y
K0003597,T,State Police,N,W,M,day,d) more than 20,41-45,N,N
K0003598,T,State Police,N,W,F,day,d) more than 20,26-30,N,Y
K0003599,W,State Police,N,W,M,night,U,26-30,N,Y
K0003602,T,State Police,N,W,M,night,U,41-45,N,Y
K0003603,T,State Police,N,W,M,night,U,26-30,N,Y
K0003604,T,State Police,N,W,M,night,U,31-35,N,Y
K0003605,W,State Police,N,W,M,night,U,26-30,N,Y
K0003606,T,State Police,N,W,M,night,U,41-45,N,Y
K0003607,T,State Police,N,W,M,night,U,31-35,N,Y
K0003608,T,State Police,N,W,M,night,U,16-20,N,Y
K0003609,W,State Police,N,W,F,night,U,16-20,N,N
K0003611,W,State Police,N,W,M,night,U,36-40,N,Y
K0003614,T,State Police,N,W,F,day,b) 10 to 15,21-25,N,N
K0003615,T,State Police,N,W,M,day,U,31-35,N,Y
K0003618,T,State Police,N,A,M,night,d) more than 20,21-25,N,Y
K0003619,T,State Police,N,A,M,night,b) 10 to 15,21-25,N,Y
K0003621,T,State Police,N,W,M,day,b) 10 to 15,36-40,N,Y
K0003622,T,State Police,N,W,M,day,b) 10 to 15,31-35,N,N
K0003623,T,State Police,N,W,M,day,U,26-30,N,Y
K0003624,T,State Police,N,W,M,day,c) 16 to 20,31-35,N,N
K0003625,W,State Police,N,W,F,day,b) 10 to 15,46-50,Y,Y
K0003626,T,State Police,N,W,F,day,U,56-60,N,Y
K0003627,T,State Police,N,W,F,day,b) 10 to 15,41-45,N,Y
K0003628,W,State Police,N,W,M,day,U,51-55,Y,Y
K0003629,T,State Police,N,W,M,day,b) 10 to 15,21-25,N,Y
K0003630,T,State Police,N,W,F,day,U,46-50,Y,Y
K0003632,T,State Police,N,W,M,day,c) 16 to 20,21-25,Y,Y
K0003633,T,State Police,N,W,M,night,a) less than 10,41-45,N,N
K0003634,T,State Police,N,W,F,day,b) 10 to 15,46-50,U,N
K0003635,T,State Police,N,W,M,day,b) 10 to 15,41-45,N,Y
K0003641,T,State Police,N,W,F,day,b) 10 to 15,31-35,N,Y
K0003642,T,State Police,N,W,M,day,U,26-30,N,Y
K0003643,T,State Police,N,W,M,day,U,21-25,N,Y
K0003644,T,State Police,N,W,M,day,U,66-70,N,Y
K0003645,T,State Police,N,A,M,day,U,26-30,N,Y
K0003646,T,State Police,N,W,M,day,b) 10 to 15,41-45,N,Y
K0003648,T,State Police,N,W,F,night,U,26-30,N,Y
K0003649,T,State Police,N,U,U,night,U,36-40,N,Y
K0003650,T,State Police,N,W,M,night,b) 10 to 15,36-40,N,Y
K0003651,T,State Police,N,B,M,night,b) 10 to 15,21-25,N,Y
K0003653,T,State Police,N,W,M,day,U,16-20,Y,Y
K0003654,T,State Police,N,W,F,day,U,31-35,Y,Y
K0003656,T,State Police,N,W,M,day,U,51-55,N,Y
K0003658,T,State Police,N,W,F,night,U,26-30,N,Y
K0003659,T,State Police,N,W,F,day,U,51-55,N,Y
K0003660,T,State Police,N,W,F,day,U,21-25,N,Y
K0003661,T,State Police,N,W,M,day,U,31-35,N,Y
K0003662,T,State Police,N,M,F,day,U,21-25,N,Y
K0003663,T,State Police,N,W,M,day,U,21-25,N,Y
K0003664,T,State Police,N,W,M,night,U,31-35,N,Y
K0003665,T,State Police,N,W,F,night,a) less than 10,26-30,N,N
K0003666,T,State Police,N,W,F,night,d) more than 20,51-55,Y,Y
K0003668,T,State Police,N,W,M,night,c) 16 to 20,41-45,N,Y
K0003669,T,State Police,N,W,F,night,b) 10 to 15,26-30,N,Y
K0003670,T,State Police,N,W,F,night,b) 10 to 15,21-25,U,N
K0003671,T,State Police,N,W,M,day,U,21-25,N,Y
K0003672,T,State Police,N,W,M,night,U,16-20,N,Y
K0003673,T,State Police,N,W,M,day,U,56-60,N,Y
K0003674,T,State Police,N,W,F,day,c) 16 to 20,31-35,N,Y
K0003676,T,State Police,N,W,M,day,b) 10 to 15,16-20,N,Y
K0003677,T,State Police,N,W,F,night,c) 16 to 20,21-25,N,Y
K0003679,T,State Police,N,W,M,day,U,41-45,N,Y
K0003680,T,State Police,N,W,M,day,U,36-40,Y,Y
K0003686,T,State Police,N,W,M,day,c) 16 to 20,21-25,N,Y
K0003690,T,State Police,N,W,M,day,c) 16 to 20,41-45,N,N
K0003691,T,State Police,N,W,M,day,a) less than 10,21-25,N,Y
K0003694,T,State Police,N,W,F,day,c) 16 to 20,26-30,N,Y
K0003695,T,State Police,N,W,F,day,c) 16 to 20,31-35,N,Y
K0003696,T,State Police,N,W,M,night,a) less than 10,31-35,N,N
K0003698,T,State Police,N,W,M,day,b) 10 to 15,36-40,N,Y
K0003699,T,State Police,N,W,F,day,U,21-25,N,Y
K0003700,T,State Police,N,W,M,night,b) 10 to 15,16-20,N,Y
K0003701,T,State Police,N,W,F,night,U,36-40,Y,Y
K0003704,W,State Police,N,W,M,night,U,61-65,N,Y
K0003705,T,State Police,N,W,M,night,b) 10 to 15,21-25,N,Y
K0003706,W,State Police,N,W,M,night,U,41-45,N,Y
K0003707,W,State Police,N,W,M,night,U,46-50,Y,Y
K0003708,W,State Police,N,W,F,night,U,56-60,Y,Y
K0003709,T,State Police,N,H,M,night,U,31-35,N,Y
K0003710,T,State Police,N,W,F,night,U,21-25,Y,Y
K0003712,W,State Police,N,W,M,night,U,26-30,N,Y
K0003713,W,State Police,N,W,M,day,U,16-20,Y,Y
K0003714,T,State Police,N,B,M,night,U,26-30,N,Y
K0003715,W,State Police,N,W,M,night,U,36-40,N,Y
K0003716,W,State Police,N,W,M,night,U,51-55,N,Y
K0003718,T,State Police,N,W,M,night,b) 10 to 15,36-40,N,Y
K0003741,W,State Police,N,W,M,day,U,36-40,U,N
K0003761,T,State Police,N,W,M,day,d) more than 20,31-35,N,Y
K0003762,T,State Police,N,W,F,night,c) 16 to 20,21-25,N,Y
K0003764,W,State Police,N,W,F,night,U,36-40,N,N
K0003767,T,State Police,N,W,F,night,b) 10 to 15,16-20,N,Y
K0003768,T,State Police,N,W,F,night,U,16-20,N,Y
K0003774,W,State Police,N,W,M,day,U,16-20,Y,Y
K0003775,T,State Police,N,W,M,day,c) 16 to 20,46-50,N,Y
K0003779,T,State Police,N,W,F,night,U,31-35,N,Y
K0003780,T,State Police,N,W,F,night,c) 16 to 20,31-35,Y,Y
K0003821,T,State Police,N,W,M,day,d) more than 20,21-25,N,N
K0003822,T,State Police,N,W,M,day,c) 16 to 20,21-25,N,Y
K0003823,T,State Police,N,W,F,night,U,16-20,N,Y
K0003825,W,State Police,N,W,M,night,U,16-20,Y,Y
K0003826,T,State Police,N,W,M,night,d) more than 20,26-30,N,Y
K0003828,T,State Police,N,W,M,night,U,46-50,N,Y
K0003829,T,State Police,N,W,M,night,U,36-40,N,Y
K0003834,T,State Police,N,A,F,day,U,16-20,Y,Y
K0003835,W,State Police,N,W,M,night,U,16-20,Y,Y
K0003837,T,State Police,N,W,M,day,U,41-45,N,Y
K0003838,T,State Police,N,M,M,day,U,36-40,N,N
K0003842,T,State Police,N,W,M,night,U,21-25,N,Y
K0003845,T,State Police,N,W,F,night,U,41-45,N,Y
K0003847,W,State Police,N,W,M,night,U,16-20,N,Y
K0003848,W,State Police,N,W,M,night,U,66-70,N,Y
K0003850,T,State Police,N,W,M,day,U,31-35,N,Y
K0003852,T,State Police,N,W,M,night,U,21-25,N,Y
K0003854,T,State Police,N,W,M,night,c) 16 to 20,16-20,N,Y
K0003855,T,State Police,N,W,M,night,c) 16 to 20,41-45,N,Y
K0003856,T,State Police,N,W,M,night,d) more than 20,16-20,N,Y
K0003857,T,State Police,N,W,M,day,U,16-20,Y,Y
K0003858,W,State Police,N,W,M,day,b) 10 to 15,16-20,Y,Y
K0003859,T,State Police,N,W,M,night,b) 10 to 15,76-80,N,Y
K0003862,T,State Police,N,A,M,day,d) more than 20,36-40,N,Y
K0003863,T,State Police,N,B,M,night,U,56-60,N,Y
K0003865,T,State Police,N,W,F,night,b) 10 to 15,51-55,N,Y
K0003873,T,State Police,N,W,F,day,c) 16 to 20,51-55,N,Y
K0003875,T,State Police,N,W,M,night,U,21-25,N,Y
K0003877,T,State Police,N,W,F,day,c) 16 to 20,31-35,N,Y
K0003878,W,State Police,N,W,M,day,U,36-40,N,Y
K0003879,T,State Police,N,W,F,day,b) 10 to 15,36-40,N,Y
K0003881,T,State Police,N,W,M,night,U,21-25,N,Y
K0003882,W,State Police,N,M,M,night,a) less than 10,46-50,N,N
K0003883,W,State Police,N,W,M,night,U,66-70,Y,Y
K0003884,W,State Police,N,W,M,night,a) less than 10,41-45,N,Y
K0003886,W,State Police,N,W,F,night,a) less than 10,26-30,N,Y
K0003889,T,State Police,N,W,M,night,d) more than 20,26-30,N,Y
K0003890,W,State Police,N,W,M,night,U,46-50,N,N
K0003891,T,State Police,N,W,M,day,d) more than 20,26-30,N,Y
K0003894,W,State Police,N,W,F,night,U,26-30,N,N
K0003895,W,State Police,N,M,M,night,U,26-30,Y,Y
K0003897,T,State Police,N,W,M,night,b) 10 to 15,31-35,N,N
K0003901,T,State Police,N,H,M,night,U,46-50,N,Y
K0003904,T,State Police,N,H,F,night,U,21-25,N,Y
K0003907,T,State Police,N,W,M,day,b) 10 to 15,61-65,N,Y
K0003909,T,State Police,N,W,F,night,U,36-40,Y,Y
K0003911,T,State Police,N,W,M,day,U,26-30,N,Y
K0003912,W,State Police,N,W,M,night,U,16-20,N,Y
K0003913,T,State Police,N,U,F,day,U,41-45,N,Y
K0003915,T,State Police,N,H,M,day,U,31-35,Y,Y
K0003916,T,State Police,N,W,M,day,U,21-25,N,Y
K0003917,T,State Police,N,W,F,day,U,26-30,N,Y
K0003918,T,State Police,N,W,M,day,U,21-25,N,Y
K0003919,W,State Police,N,W,F,day,U,26-30,N,Y
