Driver,Name_x,Year_x,Race_Result,Serial
Sébastien Loeb,Safari Rally Kenya,2022,8,302.0
Thierry Neuville,Rally Estonia,2022,4,303.0
Elfyn Evans,Rally Estonia,2022,2,303.0
Ott Tänak,Rally Estonia,2022,3,303.0
Elfyn Evans,Secto Rally Finland,2022,4,304.0
Ott Tänak,Secto Rally Finland,2022,1,304.0
Thierry Neuville,Secto Rally Finland,2022,5,304.0
Elfyn Evans,Ardeca Ypres Rally Belgium,2022,2,305.0
Thierry Neuville,Ardeca Ypres Rally Belgium,2022,2,305.0
Ott Tänak,Ardeca Ypres Rally Belgium,2022,1,305.0
Sébastien Loeb,EKO Acropolis Rally Greece,2022,DNF,306.0
Elfyn Evans,EKO Acropolis Rally Greece,2022,DNF,306.0
Thierry Neuville,EKO Acropolis Rally Greece,2022,1,306.0
Ott Tänak,EKO Acropolis Rally Greece,2022,2,306.0
Thierry Neuville,Repco Rally New Zealand,2022,4,307.0
Elfyn Evans,Repco Rally New Zealand,2022,DNF,307.0
Ott Tänak,Repco Rally New Zealand,2022,3,307.0
Sébastien Ogier,Repco Rally New Zealand,2022,2,307.0
Elfyn Evans,RallyRACC Catalunya - Costa Daurada,2022,6,308.0
Thierry Neuville,RallyRACC Catalunya - Costa Daurada,2022,2,308.0
Ott Tänak,RallyRACC Catalunya - Costa Daurada,2022,4,308.0
Sébastien Ogier,RallyRACC Catalunya - Costa Daurada,2022,1,308.0
Sébastien Ogier,FORUM8 Rally Japan,2022,4,309.0
Elfyn Evans,FORUM8 Rally Japan,2022,5,309.0
Thierry Neuville,FORUM8 Rally Japan,2022,1,309.0
Ott Tänak,FORUM8 Rally Japan,2022,2,309.0
Sébastien Ogier,Rallye Automobile Monte-Carlo,2023,1,310.0
Elfyn Evans,Rallye Automobile Monte-Carlo,2023,4,310.0
Ott Tänak,Rallye Automobile Monte-Carlo,2023,5,310.0
Thierry Neuville,Rallye Automobile Monte-Carlo,2023,3,310.0
Ott Tänak,Rally Sweden,2023,1,311.0
Thierry Neuville,Rally Sweden,2023,3,311.0
Elfyn Evans,Rally Sweden,2023,5,311.0
