Year,Current Item Name,Current Item Code,Legacy Item Name,Legacy Commodity Code,County,County Code,Harvested Acres,Production,Price Per Unit,Value,Unit,Row Type Id,Commodities In Group,Footnote
2022,Almonds,,,,Tulare,107,90900.0,,,344918000.0,,data table row,"Almonds, Hulls | Almonds, Nuts | Almonds, Other By-Products",
2022,Almonds,,,,Yolo,113,47900.0,,,63696000.0,,data table row,"Almonds, Hulls | Almonds, Nuts | Almonds, Other By-Products",
2022,Almonds,,,,Yuba,115,3240.0,,,3464000.0,,data table row,"Almonds, Hulls | Almonds, Nuts | Almonds, Other By-Products",
2022,Apiary,,,,Butte,7,,,,19163000.0,,data table row,"Apiary, Bees, Package | Apiary, Bees, Queen | Apiary, Beeswax | Apiary, Honey | Apiary, Misc | Apiary, Pollination Fees",
2022,Apiary,,,,Calaveras,9,,,,37900.0,,data table row,"Apiary, Bees, Package | Apiary, Bees, Queen | Apiary, Beeswax | Apiary, Honey | Apiary, Misc | Apiary, Pollination Fees",
2022,Apiary,,,,Colusa,11,,,,26099000.0,,data table row,"Apiary, Bees, Package | Apiary, Bees, Queen | Apiary, Beeswax | Apiary, Honey | Apiary, Misc | Apiary, Pollination Fees",
2022,Apiary,,,,Contra Costa,13,,,,1480000.0,,data table row,"Apiary, Bees, Package | Apiary, Bees, Queen | Apiary, Beeswax | Apiary, Honey | Apiary, Misc | Apiary, Pollination Fees",
2022,Apiary,,,,El Dorado,17,,,,2096000.0,,data table row,"Apiary, Bees, Package | Apiary, Bees, Queen | Apiary, Beeswax | Apiary, Honey | Apiary, Misc | Apiary, Pollination Fees",
2022,Apiary,,,,Fresno,19,,,,150993000.0,,data table row,"Apiary, Bees, Package | Apiary, Bees, Queen | Apiary, Beeswax | Apiary, Honey | Apiary, Misc | Apiary, Pollination Fees",
2022,Apiary,,,,Inyo,27,,,,224000.0,,data table row,"Apiary, Bees, Package | Apiary, Bees, Queen | Apiary, Beeswax | Apiary, Honey | Apiary, Misc | Apiary, Pollination Fees",
2022,Apiary,,,,Kern,29,,,,103779000.0,,data table row,"Apiary, Bees, Package | Apiary, Bees, Queen | Apiary, Beeswax | Apiary, Honey | Apiary, Misc | Apiary, Pollination Fees",
2022,Apiary,,,,Kings,31,,,,20047000.0,,data table row,"Apiary, Bees, Package | Apiary, Bees, Queen | Apiary, Beeswax | Apiary, Honey | Apiary, Misc | Apiary, Pollination Fees",
2022,Apiary,,,,Madera,39,,,,69758000.0,,data table row,"Apiary, Bees, Package | Apiary, Bees, Queen | Apiary, Beeswax | Apiary, Honey | Apiary, Misc | Apiary, Pollination Fees",
2022,Apiary,,,,Mariposa,43,,,,53800.0,,data table row,"Apiary, Bees, Package | Apiary, Bees, Queen | Apiary, Beeswax | Apiary, Honey | Apiary, Misc | Apiary, Pollination Fees",
2022,Apiary,,,,Merced,47,,,,64738000.0,,data table row,"Apiary, Bees, Package | Apiary, Bees, Queen | Apiary, Beeswax | Apiary, Honey | Apiary, Misc | Apiary, Pollination Fees",
2022,Apiary,,,,Monterey,53,,,,249000.0,,data table row,"Apiary, Bees, Package | Apiary, Bees, Queen | Apiary, Beeswax | Apiary, Honey | Apiary, Misc | Apiary, Pollination Fees",
2022,Apiary,,,,Nevada,57,,,,520000.0,,data table row,"Apiary, Bees, Package | Apiary, Bees, Queen | Apiary, Beeswax | Apiary, Honey | Apiary, Misc | Apiary, Pollination Fees",
